City,Country,Year
Athens,Greece,1896
Paris,France,1900
St. Louis[a],United States,1904
London[b],United Kingdom,1908
Stockholm,Sweden,1912
Berlin,Germany,1916
Antwerp[c],Belgium,1920
Chamonix,France,1924
Paris,France,1924
St. Moritz,Switzerland,1928
Amsterdam,Netherlands,1928
Lake Placid,United States,1932
Los Angeles,United States,1932
Garmisch-Partenkirchen,Germany,1936
Berlin,Germany,1936
SapporoGarmisch-Partenkirchen[d],Japan Germany,1940
TokyoHelsinki[e],Japan Finland,1940
Cortina d'Ampezzo,Italy,1944
London,United Kingdom,1944
St. Moritz,Switzerland,1948
London,United Kingdom,1948
Oslo,Norway,1952
Helsinki,Finland,1952
Cortina d'Ampezzo,Italy,1956
MelbourneStockholm[f],Australia Sweden,1956
Palisades Tahoe,United States,1960
Rome,Italy,1960
Innsbruck,Austria,1964
Tokyo,Japan,1964
Grenoble,France,1968
Mexico City,Mexico,1968
Sapporo,Japan,1972
Munich,West Germany,1972
Innsbruck[g],Austria,1976
Montreal,Canada,1976
Lake Placid,United States,1980
Moscow,Soviet Union[h],1980
Sarajevo,Yugoslavia,1984
Los Angeles,United States,1984
Calgary,Canada,1988
Seoul,South Korea,1988
Albertville,France,1992
Barcelona,Spain,1992
Lillehammer,Norway,1994
Atlanta,United States,1996
Nagano,Japan,1998
Sydney,Australia,2000
Salt Lake City,United States,2002
Athens,Greece,2004
Turin,Italy,2006
Beijing[i],China,2008
Vancouver,Canada,2010
London,United Kingdom,2012
Sochi,Russia[h],2014
Rio de Janeiro,Brazil,2016
Pyeongchang,South Korea,2018
Tokyo,Japan,2020
Beijing,China,2022
Paris,France,2024
Milan–Cortina d'Ampezzo,Italy,2026
Los Angeles,United States,2028
Brisbane,Australia,2032
